participant_id,group,scale,item_code,item_text,value
baseline007,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,5.0
baseline008,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,5.0
baseline009,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,4.0
baseline004,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,4.0
baseline005,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,4.0
exp009,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,4.0
exp015,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,4.0
exp007,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,4.0
exp00121,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,5.0
exp0010,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,4.0
exp0014,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,5.0
baseline0011,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,3.0
baseline0012,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,3.0
exp0011,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,5.0
baseline006,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,4.0
baseline0013,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,2.0
baseline0010,baseline,SUS,SUS_Q5,I found the various functions in this system were well integrated.,2.0
exp005,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,4.0
exp006,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,3.0
exp0013,exp,SUS,SUS_Q5,I found the various functions in this system were well integrated.,3.0
baseline003,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,1.0
baseline001,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,3.0
exp004,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
exp003,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
baseline007,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
baseline008,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,3.0
baseline009,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,1.0
baseline004,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
baseline005,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
exp009,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,1.0
exp015,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
exp007,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,1.0
exp00121,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
exp0010,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
exp0014,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,3.0
baseline0011,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,3.0
baseline0012,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
exp0011,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
baseline006,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
baseline0013,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,4.0
baseline0010,baseline,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,2.0
exp005,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,1.0
exp006,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,4.0
exp0013,exp,SUS,SUS_Q6,I thought there was too much inconsistency in this system.,3.0
baseline003,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,5.0
baseline001,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,4.0
exp004,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,5.0
exp003,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,3.0
baseline007,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,5.0
baseline008,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,4.0
baseline009,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,4.0
baseline004,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,5.0
baseline005,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,4.0
exp009,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,5.0
exp015,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,3.0
exp007,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,5.0
exp00121,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,5.0
exp0010,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,4.0
exp0014,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,5.0
baseline0011,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,5.0
baseline0012,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,4.0
exp0011,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,4.0
baseline006,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,5.0
baseline0013,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,4.0
baseline0010,baseline,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,4.0
exp005,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,1.0
exp006,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,2.0
exp0013,exp,SUS,SUS_Q7,I would imagine that most people would learn to use this system very quickly.,5.0
baseline003,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,1.0
baseline001,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,5.0
exp004,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,1.0
exp003,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,2.0
baseline007,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,1.0
baseline008,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,1.0
baseline009,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,1.0
baseline004,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,1.0
baseline005,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,2.0
exp009,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,1.0
exp015,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,2.0
exp007,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,3.0
exp00121,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,2.0
exp0010,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,2.0
exp0014,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,1.0
baseline0011,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,2.0
baseline0012,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,4.0
exp0011,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,2.0
baseline006,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,2.0
baseline0013,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,2.0
baseline0010,baseline,SUS,SUS_Q8,I found the system very cumbersome to use.,3.0
exp005,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,1.0
exp006,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,2.0
exp0013,exp,SUS,SUS_Q8,I found the system very cumbersome to use.,1.0
baseline003,baseline,SUS,SUS_Q9,I felt very confident using the system.,4.0
baseline001,baseline,SUS,SUS_Q9,I felt very confident using the system.,2.0
exp004,exp,SUS,SUS_Q9,I felt very confident using the system.,4.0
exp003,exp,SUS,SUS_Q9,I felt very confident using the system.,4.0
baseline007,baseline,SUS,SUS_Q9,I felt very confident using the system.,4.0
baseline008,baseline,SUS,SUS_Q9,I felt very confident using the system.,3.0
baseline009,baseline,SUS,SUS_Q9,I felt very confident using the system.,4.0
baseline004,baseline,SUS,SUS_Q9,I felt very confident using the system.,3.0
baseline005,baseline,SUS,SUS_Q9,I felt very confident using the system.,5.0
exp009,exp,SUS,SUS_Q9,I felt very confident using the system.,5.0
exp015,exp,SUS,SUS_Q9,I felt very confident using the system.,5.0
exp007,exp,SUS,SUS_Q9,I felt very confident using the system.,5.0
exp00121,exp,SUS,SUS_Q9,I felt very confident using the system.,5.0
exp0010,exp,SUS,SUS_Q9,I felt very confident using the system.,3.0
exp0014,exp,SUS,SUS_Q9,I felt very confident using the system.,5.0
baseline0011,baseline,SUS,SUS_Q9,I felt very confident using the system.,3.0
baseline0012,baseline,SUS,SUS_Q9,I felt very confident using the system.,3.0
exp0011,exp,SUS,SUS_Q9,I felt very confident using the system.,5.0
baseline006,baseline,SUS,SUS_Q9,I felt very confident using the system.,5.0
baseline0013,baseline,SUS,SUS_Q9,I felt very confident using the system.,3.0
baseline0010,baseline,SUS,SUS_Q9,I felt very confident using the system.,4.0
exp005,exp,SUS,SUS_Q9,I felt very confident using the system.,4.0
exp006,exp,SUS,SUS_Q9,I felt very confident using the system.,2.0
exp0013,exp,SUS,SUS_Q9,I felt very confident using the system.,5.0
baseline003,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,2.0
baseline001,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,2.0
exp004,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,2.0
exp003,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,2.0
baseline007,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,1.0
baseline008,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,1.0
baseline009,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,1.0
baseline004,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,3.0
baseline005,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,3.0
exp009,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,1.0
exp015,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,2.0
exp007,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,1.0
exp00121,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,2.0
exp0010,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,4.0
exp0014,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,1.0
baseline0011,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,2.0
baseline0012,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,2.0
exp0011,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,3.0
baseline006,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,4.0
baseline0013,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,1.0
baseline0010,baseline,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,2.0
exp005,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,2.0
exp006,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,4.0
exp0013,exp,SUS,SUS_Q10,I needed to learn a lot of things before I could get going with this system.,1.0
baseline003,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",5.0
baseline001,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",9.0
exp004,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",7.0
exp003,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",4.0
baseline007,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",4.0
baseline008,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",4.0
baseline009,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",7.0
baseline004,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",4.0
baseline005,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",8.0
exp009,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",9.0
exp015,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",8.0
exp007,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",8.0
exp00121,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",9.0
exp0010,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",7.0
exp0014,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",7.0
baseline0011,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",2.0
baseline0012,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",6.0
exp0011,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",2.0
baseline006,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",7.0
baseline0013,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",3.0
baseline0010,baseline,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",4.0
exp005,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",3.0
exp006,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",8.0
exp0013,exp,NASA_TLX,NASA_Q1_MentalDemand,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?",8.0
baseline003,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",2.0
baseline001,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",6.0
exp004,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",5.0
exp003,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",1.0
baseline007,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",4.0
baseline008,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",2.0
baseline009,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",8.0
baseline004,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",4.0
baseline005,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",8.0
exp009,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",4.0
exp015,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",3.0
exp007,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",3.0
exp00121,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",3.0
exp0010,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",2.0
exp0014,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",7.0
baseline0011,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",2.0
baseline0012,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",7.0
exp0011,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",3.0
baseline006,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",2.0
baseline0013,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",5.0
baseline0010,baseline,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",4.0
exp005,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",1.0
exp006,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",6.0
exp0013,exp,NASA_TLX,NASA_Q2_PhysicalDemand,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)?",1.0
baseline003,baseline,NASA_TLX,NASA_Q3_TemporalDemand,How much time pressure did you feel due to the rate or pace at which the tasks occurred?,6.0
baseline001,baseline,NASA_TLX,NASA_Q3_TemporalDemand,How much time pressure did you feel due to the rate or pace at which the tasks occurred?,5.0
exp004,exp,NASA_TLX,NASA_Q3_TemporalDemand,How much time pressure did you feel due to the rate or pace at which the tasks occurred?,6.0
exp003,exp,NASA_TLX,NASA_Q3_TemporalDemand,How much time pressure did you feel due to the rate or pace at which the tasks occurred?,2.0
baseline007,baseline,NASA_TLX,NASA_Q3_TemporalDemand,How much time pressure did you feel due to the rate or pace at which the tasks occurred?,5.0
baseline008,baseline,NASA_TLX,NASA_Q3_TemporalDemand,How much time pressure did you feel due to the rate or pace at which the tasks occurred?,5.0
