participant_id,group,module,tips,question_type,question_text,response
exp015,exp,interest_generation,,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,Quality of suggestions depends heavily on accurate interest detection.
exp007,exp,interest_generation,"使用复杂性,无困难",difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,"no difficulties encountered, it helps to find everything I forgot"
exp00121,exp,interest_generation,性能问题,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,Slow loading or loading failure
exp0010,exp,interest_generation,,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,Too little interactive content
exp0014,exp,interest_generation,,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,"Sometimes the recommendations can become too narrow, which may limit exposure to new perspectives. In addition, the module may require some time to “learn” my interests accurately."
baseline0011,baseline,interest_generation,无困难,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,No
baseline0012,baseline,interest_generation,无困难,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,no
baseline006,baseline,interest_generation,无困难,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,"Yes, I'm not very familiar with HTML, CSS, and JS, but I don't think they have any shortcomings"
baseline0013,baseline,interest_generation,无困难,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,none
baseline0010,baseline,interest_generation,无困难,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,No
exp005,exp,interest_generation,无困难,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,there is not
exp006,exp,interest_generation,无困难,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,Sometimes the search function cannot be used
exp0013,exp,interest_generation,使用复杂性,difficulty,Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?,I haven't encountered any difficulties.
baseline003,baseline,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,"I hope to be able to choose which features to generate, which features to remove, and allow me to personalize the description of the effects I want to generate"
baseline001,baseline,interest_generation,"增加选项,难度调节",suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,"It would be better to have more options, and then you can adjust the difficulty."
exp004,exp,interest_generation,增加选项,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,"I think the range of topics provided could be further expanded, or users could be allowed to input topics freely to enhance flexibility."
exp003,exp,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,"I think we can add more interest modules for us to choose from, but it would be better if we can manually input our own interests and then generate corresponding topics based on these interests."
baseline007,baseline,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,Do not let the content of the knowledge point display module automatically float up and down. Simplify the content appropriately and avoid making the entire page appear so crowded.
baseline008,baseline,interest_generation,代码功能,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,Add a module for example code.
baseline009,baseline,interest_generation,代码功能,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,"A page contains three parts: articles, sample code, and knowledge points display, which looks a bit crowded. Especially the knowledge points display, with abundant content but occupying less than a third of the page area, it requires me to scroll the side scrollbar repeatedly, which is very wearing on my patience. I suggest displaying the most important knowledge points on a separate page and increasing the font size appropriately."
baseline004,baseline,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,可以把代码区域改成自动换行显示，或者增加一键复制按钮和折叠，这样就不用来回拖动查看了。
baseline005,baseline,interest_generation,代码功能,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,"In the example part of the knowledge point, it would be better if you could format the sample code or show the web page effect corresponding to the code."
exp009,exp,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,I don't have.
exp015,exp,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,Provide transparency: explain why a topic was recommended.
exp007,exp,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,show less about how I progress
exp00121,exp,interest_generation,性能优化,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,Optimize running speed
exp0010,exp,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,Increase more interaction
exp0014,exp,interest_generation,难度调节,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,"I suggest adding options to adjust the balance between “personalized” and “exploratory” content, so users can control how much novelty they want. Transparency about why certain outputs are generated would also be useful."
baseline0011,baseline,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,No
baseline0012,baseline,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,no
baseline006,baseline,interest_generation,代码功能,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,"It's best to have HTML, CSS, JS, templates for changes, and intuitive understanding of methods for font, color, and other transformations, which is beneficial for beginners"
baseline0013,baseline,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,none
baseline0010,baseline,interest_generation,难度调节,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,Add the ability to freely adjust the size
exp005,exp,interest_generation,界面优化,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,Different examples can be designed in different directions.
exp006,exp,interest_generation,,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,Can we upgrade the AI function
exp0013,exp,interest_generation,界面优化,suggestion,What suggestions do you have to improve the Interest-based Generation Module?  ,"I think the layout of the page could be improved. For instance, the ""Open Sample Page Exploration"" section on the homepage could occupy the entire left part. After this module is displayed, then sliding down, it could be the ""Progressive Knowledge Point Presentation"" module. In this way, each module's specific page won't appear so cramped."
exp004,exp,open_exploration,"自由探索,创造性思维,实践理解",advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,"I think this module allows me to freely choose the elements I want to learn, and the element labels and code are displayed, which helps me better understand their implementation. I also like the knowledge graph in this module, which allows me to jump around freely. However, my favorite thing is the degree of freedom it provides."
exp003,exp,open_exploration,实践理解,advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,"By grabbing elements in this way, I can understand more clearly how this element is used in practice and where it should be placed. In addition, I can switch to view the elements of knowledge points that I have learned before, which is very helpful when I forget."
exp009,exp,open_exploration,新手友好,advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,Yes. A beginner like me could know what code is.
exp015,exp,open_exploration,"自由探索,创造性思维",advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,Yes.Promotes creativity and critical thinking through unconstrained exploration.
exp007,exp,open_exploration,实践理解,advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,"yes, it helps understanding grammar"
exp00121,exp,open_exploration,,advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,"Yes, it can be freely selected"
exp0010,exp,open_exploration,新手友好,advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,It looks very intuitive
exp0014,exp,open_exploration,"自由探索,创造性思维",advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,"Yes, it is very helpful. It encourages creativity, critical thinking, and the exploration of topics beyond a fixed scope. It is flexible and fosters curiosity-driven learning."
baseline0011,baseline,open_exploration,,advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,A little
baseline0013,baseline,open_exploration,,advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,"In general, you can see the finished product effect."
baseline0010,baseline,open_exploration,,advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,"Yes, but not many"
exp005,exp,open_exploration,实践理解,advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,It is somewhat helpful and can simply check the implementation principles of certain parts of the website.
exp006,exp,open_exploration,,advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,Can help me make clearer choices about the level of difficulty
exp0013,exp,open_exploration,实践理解,advantage,Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?,It is helpful to understand what kind of code constitutes what kind of image.
exp004,exp,open_exploration,功能限制,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,"I didn't encounter any issues while using it. The only drawback I noticed was the lack of CSS styling and JS node selection. However, the module does offer a feature that unlocks previously learned node elements, allowing users to select elements from previous lessons in other nodes. I think this is a very well-designed feature."
exp003,exp,open_exploration,,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,No
exp009,exp,open_exploration,显示尺寸问题,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,No difficulties. No disadvantages to me.
exp007,exp,open_exploration,显示尺寸问题,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,"windows are too small, maybe there are other ways to do the job"
exp00121,exp,open_exploration,显示尺寸问题,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,Small selection range
exp0010,exp,open_exploration,,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,no
exp0014,exp,open_exploration,缺乏指导,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,"Sometimes it provides results that are too broad or unfocused, which can make it harder to extract concrete conclusions. It may also require more guidance for beginners."
baseline0011,baseline,open_exploration,,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,No
baseline0013,baseline,open_exploration,,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,You will hardly notice the display interface during the process.
baseline0010,baseline,open_exploration,显示尺寸问题,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,Too small to read
exp005,exp,open_exploration,,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,The objects that can be selected at the beginning are not clear.
exp006,exp,open_exploration,,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,AI cannot understand my question
exp0013,exp,open_exploration,显示尺寸问题,difficulty,Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?,There were no difficulties encountered.
exp004,exp,open_exploration,,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,"I think this module only needs to expand the selection of node elements, allowing the choice of CSS and JS."
exp003,exp,open_exploration,,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,No
exp009,exp,open_exploration,专业性提升,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,It could be more professional.
exp007,exp,open_exploration,,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,no
exp00121,exp,open_exploration,,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,Increase selection
exp0010,exp,open_exploration,,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,It looks very intuitive
exp0014,exp,open_exploration,增加指导,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,Providing a structured option (like suggested directions or focus areas) could make exploration more efficient while still keeping it open-ended.
baseline0011,baseline,open_exploration,,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,No
baseline0013,baseline,open_exploration,界面改进,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,Increase some interaction with the display interface.
baseline0010,baseline,open_exploration,界面改进,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,Allow this module to be dragged and resized for easier reading
exp005,exp,open_exploration,增加指导,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,Provide appropriate guiding effects such as highlighting optional elements according to the chapters.
exp006,exp,open_exploration,,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,It's best to be able to return independently
exp0013,exp,open_exploration,,suggestion,What suggestions do you have to improve the Open-ended Exploration Module?  ,The page is still a bit small and it doesn't look very comfortable.
exp004,exp,progressive_unfolding,"循序渐进,分步学习",advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,"This progressive knowledge expansion module consists of four levels of knowledge cards, with content difficulty increasing gradually. I believe it can effectively assist me in learning."
exp003,exp,progressive_unfolding,降低认知负荷,advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,"Learning incrementally like this has reduced my cognitive load, which is great."
exp009,exp,progressive_unfolding,降低认知负荷,advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,"Yes. 1. Each section has different functions, and the progression of difficulty is appropriate. 2. Easy to use."
exp015,exp,progressive_unfolding,复杂概念理解,advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,Yes.Supports step-by-step understanding of complex topics.
exp007,exp,progressive_unfolding,"循序渐进,分步学习",advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,"yes, it teaches me step by step"
exp00121,exp,progressive_unfolding,"循序渐进,分步学习",advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,"Yes, the advantage is that it is gradual"
exp0010,exp,progressive_unfolding,,advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,Help me learn knowledge
exp0014,exp,progressive_unfolding,"循序渐进,分步学习,复杂概念理解",advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,"Yes, it is very helpful. It breaks down complex knowledge into manageable steps, making it easier to understand and retain. It supports gradual and logical learning."
baseline0013,baseline,progressive_unfolding,,advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,there are some，No need to look up information.
baseline0010,baseline,progressive_unfolding,,advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,Let me know what knowledge points are in this part
exp005,exp,progressive_unfolding,,advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,Not much help
exp006,exp,progressive_unfolding,,advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,Can clearly to know how to use HTML
exp0013,exp,progressive_unfolding,复杂概念理解,advantage,Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?,It's good. It helped me understand some basic concepts.
exp004,exp,progressive_unfolding,,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,"I don't think there are any issues with the usability, and the interaction is quite comfortable. In terms of drawbacks, I believe the content in the progressive expansion could be more concise."
exp003,exp,progressive_unfolding,,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,No
exp009,exp,progressive_unfolding,,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,No difficulties. No disadvantages to me.
exp015,exp,progressive_unfolding,,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,No I didn't.
exp007,exp,progressive_unfolding,,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,no
exp00121,exp,progressive_unfolding,技术问题,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,Easy to fail to load
exp0010,exp,progressive_unfolding,,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,no
exp0014,exp,progressive_unfolding,进度问题,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,"The pace may sometimes feel too slow for advanced users, and it might oversimplify certain topics."
baseline0013,baseline,progressive_unfolding,界面布局问题,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,"The knowledge interface is too compact, making it uncomfortable to view."
baseline0010,baseline,progressive_unfolding,,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,"The text is very long and has few paragraphs, making it difficult to read."
exp005,exp,progressive_unfolding,,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,No
exp006,exp,progressive_unfolding,,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,Ask a single question and AI will directly provide thr entire code
exp0013,exp,progressive_unfolding,,difficulty,Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?,No difficulties were encountered.
exp004,exp,progressive_unfolding,内容优化,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,"As for improving the progressive knowledge expansion module, I believe the content could be further streamlined."
exp003,exp,progressive_unfolding,,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,No
exp009,exp,progressive_unfolding,,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,Network lag should be solved.
exp015,exp,progressive_unfolding,个性化进度,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,Enhance personalization with dynamic pacing.
exp007,exp,progressive_unfolding,,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,no
exp00121,exp,progressive_unfolding,性能优化,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,Optimize loading
exp0010,exp,progressive_unfolding,,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,no
exp0014,exp,progressive_unfolding,个性化进度,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,"Allow users to choose their own learning depth and speed, for example by providing “basic,” “intermediate,” and “advanced” modes."
baseline0013,baseline,progressive_unfolding,,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,"Provide separate displays for each knowledge point, instead of putting all knowledge points in one document."
baseline0010,baseline,progressive_unfolding,内容优化,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,Optimize segmentation to make it more concise
exp005,exp,progressive_unfolding,,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,"The gradual knowledge expansion modules for learning should make corresponding changes in conjunction with the learning chapters, clearly defining specific learning content. For example, for level 1, tags should be added at least on the section such as <title><h2>. Particularly, changes in the chapter titles that are not very noticeable in the upper left corner should be highlighted; otherwise, if you just look at the four levels written without delving into the text content and the different test questions, one might mistakenly think there is only this amount of content in this chapter."
exp006,exp,progressive_unfolding,,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,Add a simplified version
exp0013,exp,progressive_unfolding,,suggestion,What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ,I suggest that the layout could be made more comfortable.
baseline003,baseline,programming_module,"实时预览,即时反馈,代码补全,智能辅助",advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"Helpful, this programming module is very intelligent and can help me fill in tags or attributes, and I can also immediately see the generated code effect. The user experience is very good!"
baseline001,baseline,programming_module,"实时预览,即时反馈,实践练习",advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"I think this design is great. After I finished learning it, I could immediately practice and found many problems that I thought I understood but actually didn't."
exp004,exp,programming_module,"实时预览,即时反馈,代码补全,智能辅助,错误检测",advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"I think this programming module is very well designed. It functions similarly to commonly used editors like VSCode and PyCharm, featuring code suggestions, static checks, shortcut keys, etc. Its advantage, in my opinion, lies in its flexibility of being embedded directly into web pages, along with the ability to instantly display front-end rendering results."
exp003,exp,programming_module,"实时预览,即时反馈,错误检测,实践练习",advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"It's great to be able to see the rendering effect in real time while writing code. The test questions are also of reasonable difficulty, and the error reports are very detailed."
baseline007,baseline,programming_module,"实时预览,即时反馈",advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"Yes,it is helpful.Online IDE allows for real-time preview of code results, making the written code what you see is what you get.Separating HTML, CSS, and javascript code can make learners pay more attention to code learning"
baseline008,baseline,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"yes,the compilation module is diverse."
baseline009,baseline,programming_module,"代码补全,智能辅助,错误检测",advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,Helpful. 1. It has word completion features 2. It can quickly evaluate the correctness of my code online and display my errors with multiple points
baseline004,baseline,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,有，查漏补缺能纠错小细节
baseline005,baseline,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"Yes, it is really helpful to me. Compared with many programming modules, I think the most advantageous one is its clear introduction and the layout is not troublesome to read. Moreover, its multi-bit integrated compiler is very convenient to view."
exp009,exp,programming_module,错误检测,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,Yes. 1. Clear enough make it easily got my targets. 2. It checked my code and could tell me where I made mistakes.
exp015,exp,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,There is an inspiration button that can provide hints to help me learn programming.
exp007,exp,programming_module,实践练习,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"yes, it can give me a test"
exp00121,exp,programming_module,"实时预览,即时反馈,错误检测",advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"Yes, you can check it in real time"
exp0010,exp,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,Programming is very convenient.
exp0014,exp,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"Allow users to choose their own learning depth and speed, for example by providing “basic,” “intermediate,” and “advanced” modes."
baseline0011,baseline,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,It's very cool to be able to see the code you write rendered in real-time.
baseline006,baseline,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,"Yes, I have learned how to program and have gained a preliminary understanding of how to transform HTML into CSS"
baseline0013,baseline,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,just so so
baseline0010,baseline,programming_module,,advantage,Is the Programming Module  helpful to you? What advantages do you think it has?,I think it's pretty good
